Stats
CPU,Threads,Memory,Framework
0.0,2,2520.0,Vapor
0.0,2,2520.0,Vapor
0.0,2,2520.0,Vapor
0.0,2,2520.0,Vapor
0.0,2,2520.0,Vapor
2.5,65,3528.0,Vapor
2.3,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.8,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.8,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.4,65,3544.0,Vapor
1.1,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.2,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.4,65,3544.0,Vapor
1.8,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.1,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.8,65,3544.0,Vapor
2.8,65,3544.0,Vapor
2.9,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.0,65,3544.0,Vapor
2.2,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.4,65,3544.0,Vapor
1.9,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.0,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.2,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.8,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.8,65,3544.0,Vapor
2.8,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.4,65,3544.0,Vapor
1.5,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.2,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.2,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.8,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.8,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.2,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.4,65,3544.0,Vapor
1.9,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.8,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.3,6.0,3544.0,Vapor
2.4,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.2,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.2,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.5,65,3544.0,Vapor
